date,service_hrs,kitchen_hrs,dishwasher_hrs,service_per,kitchen_per,dishwasher_per,total_per,total_hrs
2025-02-02,110,57,50,16,8,7,31,217
2025-02-03,73,51,38,21,15,10,46,162
2025-02-04,50,57,39,14,18,10,42,146
2025-02-05,52,44,44,12,12,10,34,140
2025-02-06,118,53,40,16,8,5,29,211
2025-02-07,134,69,57,16,9,6,31,260
2025-02-08,154,74,50,14,7,4,25,278
2025-02-09,111,60,50,11,6,5,22,221
2025-02-10,105,59,46,15,10,6,31,210
2025-02-11,80,61,38,12,11,6,29,179
2025-02-12,96,65,51,11,9,6,26,212
2025-02-13,122,63,50,18,11,7,36,235
2025-02-14,188,97,61,12,6,4,22,346
2025-02-15,167,81,65,12,6,5,23,313
2025-02-16,89,52,49,12,7,6,25,190
2025-02-17,66,56,57,15,13,11,39,179
2025-02-18,70,52,40,13,11,7,31,162
2025-02-19,76,39,40,14,9,8,31,155
2025-02-20,96,70,32,15,13,5,33,198
2025-02-21,144,82,48,13,9,4,26,274
2025-02-22,143,75,37,12,7,3,22,255
2025-02-23,85,52,42,14,10,7,31,179
2025-02-24,71,45,30,24,18,10,52,146
2025-02-25,61,66,39,13,16,8,37,166
2025-02-26,61,48,43,12,11,8,31,152
2025-02-27,110,62,35,20,15,6,41,207
2025-02-28,126,79,50,13,8,5,26,255
2025-03-01,154,80,51,12,6,4,22,285
2025-03-02,108,73,32,10,7,3,20,213
2025-03-03,95,56,46,22,13,10,45,197
2025-03-04,76,48,45,16,11,9,36,169
2025-03-05,77,45,33,18,12,8,38,155
2025-03-06,102,68,40,16,12,6,34,210
2025-03-07,147,59,57,16,7,5,28,263
2025-03-08,152,85,56,12,7,4,23,293
2025-03-09,92,61,41,11,8,5,24,194
2025-03-10,89,61,43,13,9,6,28,193
2025-03-11,72,80,51,12,15,8,35,203
2025-03-12,72,67,43,12,13,7,32,182
2025-03-13,114,65,42,15,10,6,31,221
2025-03-14,166,69,54,15,7,5,27,289
2025-03-15,179,83,64,13,6,4,23,326
2025-03-16,109,60,46,12,7,5,24,215
2025-03-17,97,73,50,15,12,7,34,220
2025-03-18,65,51,58,12,10,10,32,174
2025-03-19,120,85,47,12,9,5,26,252
2025-03-20,116,70,48,11,8,5,24,234
2025-03-21,152,85,49,12,7,4,23,286
2025-03-22,180,86,54,11,6,3,20,320
2025-03-23,135,64,37,15,8,4,27,236
2025-03-24,90,69,50,12,10,6,28,209
2025-03-25,76,68,52,12,12,8,32,196
2025-03-26,77,60,54,13,11,9,33,191
2025-03-27,104,73,52,14,11,7,32,229
2025-03-28,153,80,60,12,6,4,22,293
2025-03-29,169,90,62,12,7,4,23,321
2025-03-30,99,73,47,8,7,4,19,219
2025-03-31,95,69,49,9,7,4,20,213
2025-04-01,87,71,32,10,8,3,21,190
2025-04-02,87,75,58,8,8,5,21,220
2025-04-03,137,77,64,13,8,6,27,278
2025-04-04,183,77,66,13,6,5,24,326
2025-04-05,167,93,63,11,6,4,21,323
2025-04-06,136,83,64,13,8,6,27,283
2025-04-07,104,74,56,10,8,5,23,234
2025-04-08,120,87,56,12,9,5,26,263
2025-04-09,110,74,53,10,7,5,22,237
2025-04-10,142,80,56,14,9,5,28,278
2025-04-11,178,86,72,12,6,5,23,336
2025-04-12,224,94,75,13,5,4,22,393
2025-04-13,146,75,65,11,7,5,23,286
2025-04-14,121,105,59,11,11,5,27,285
2025-04-15,115,76,66,10,7,6,23,257
2025-04-16,91,71,55,8,7,5,20,217
2025-04-17,159,87,58,12,7,4,23,304
2025-04-18,193,93,73,11,6,4,21,359
2025-04-19,192,105,70,10,6,4,20,367
2025-04-20,181,87,56,13,7,4,24,324
2025-04-21,204,95,62,22,11,6,39,361
2025-04-22,115,74,63,11,7,6,24,252
2025-04-23,89,70,51,8,7,5,20,210
2025-04-24,123,97,61,9,8,5,22,281
2025-04-25,166,94,67,11,6,4,21,327
2025-04-26,127,83,72,18,12,10,40,282
2025-04-27,128,75,51,11,7,4,22,254
2025-04-28,126,74,55,13,8,5,26,255
2025-04-29,166,62,55,18,7,6,31,283
2025-04-30,92,85,57,8,6,5,19,234
2025-05-01,147,92,63,10,7,4,21,302
2025-05-02,166,104,66,10,7,4,21,336
2025-05-03,185,103,67,11,7,4,22,355
2025-05-04,123,81,54,9,6,4,19,258
2025-05-05,150,86,61,18,12,7,37,297
2025-05-06,117,69,56,15,10,7,32,242
2025-05-07,120,65,59,14,9,7,30,244
2025-05-08,125,85,64,9,8,4,21,274
2025-05-09,196,92,57,14,7,4,25,345
2025-05-10,217,92,70,13,7,4,24,379
2025-05-11,168,75,58,12,7,4,23,301
2025-05-12,144,65,55,14,7,5,26,264
2025-05-13,114,76,56,13,9,6,28,246
2025-05-14,98,79,57,11,9,6,26,234
2025-05-15,142,88,76,15,10,8,33,306
2025-05-16,180,107,78,13,8,5,26,365
2025-05-17,201,118,83,11,7,4,22,402
2025-05-18,173,106,67,9,7,4,20,346
2025-05-19,157,86,54,12,7,4,23,297
2025-05-20,130,77,60,11,6,5,22,267
2025-05-21,117,82,61,12,9,6,27,260
2025-05-22,165,97,56,14,9,5,28,318
2025-05-23,172,98,60,13,8,4,25,330
2025-05-24,161,96,67,11,7,4,22,324
2025-05-25,111,87,55,10,9,5,24,253
2025-05-26,127,75,68,13,9,7,29,270
2025-05-27,117,69,56,16,10,8,34,242
2025-05-28,118,82,58,13,10,7,30,258
2025-05-29,150,100,55,14,11,5,30,305
2025-05-30,189,106,50,11,7,3,21,345
2025-05-31,153,90,60,11,7,4,22,303
